symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
btcusd,2018-01-02 00:00:00+00:00,13443.41,15407.8656974099,12801.38,13380.2900964458,47749.20758932,13443.41,15407.8656974099,12801.38,13380.2900964458,47749.20758932,0.0,1.0
btcusd,2018-01-03 00:00:00+00:00,14678.94,15376.9143020252,12910.58,14701.852399463,49533.8427295,14678.94,15376.9143020252,12910.58,14701.852399463,49533.8427295,0.0,1.0
btcusd,2018-01-04 00:00:00+00:00,15155.62,15500.0,13986.8798728023,15011.7398565181,54304.12381981,15155.62,15500.0,13986.8798728023,15011.7398565181,54304.12381981,0.0,1.0
btcusd,2018-01-05 00:00:00+00:00,15143.67,17147.5516348484,14192.37,15112.9081330637,59753.02,15143.67,17147.5516348484,14192.37,15112.9081330637,59753.02,0.0,1.0
btcusd,2018-01-06 00:00:00+00:00,16928.0,17200.0,14810.0,16939.8479986162,48081.91,16928.0,17200.0,14810.0,16939.8479986162,48081.91,0.0,1.0
btcusd,2018-01-07 00:00:00+00:00,17149.67,17234.99,15638.8546470263,17109.7963118961,34442.02,17149.67,17234.99,15638.8546470263,17109.7963118961,34442.02,0.0,1.0
btcusd,2018-01-08 00:00:00+00:00,16124.02,17149.97,13079.6747001281,16202.7438308795,58600.81,16124.02,17149.97,13079.6747001281,16202.7438308795,58600.81,0.0,1.0
btcusd,2018-01-09 00:00:00+00:00,14999.99,16300.0,13900.0,14902.9304172697,46703.35,14999.99,16300.0,13900.0,14902.9304172697,46703.35,0.0,1.0
btcusd,2018-01-10 00:00:00+00:00,14403.51,15367.18,13213.84972223,14414.8100863152,49986.52,14403.51,15367.18,13213.84972223,14414.8100863152,49986.52,0.0,1.0
btcusd,2018-01-11 00:00:00+00:00,14890.02,14953.4830400985,11910.2100465145,14902.9687934328,77191.01,14890.02,14953.4830400985,11910.2100465145,14902.9687934328,77191.01,0.0,1.0
btcusd,2018-01-12 00:00:00+00:00,13243.83,14973.07,12581.4381889686,13253.1880400237,50143.08,13243.83,14973.07,12581.4381889686,13253.1880400237,50143.08,0.0,1.0
btcusd,2018-01-13 00:00:00+00:00,13781.41,14588.655553975,12807.27,13775.78766049,36302.08,13781.41,14588.655553975,12807.27,13775.78766049,36302.08,0.0,1.0
btcusd,2018-01-14 00:00:00+00:00,14197.78,14619.1,12707.6306373297,14199.2726911442,36074.99,14197.78,14619.1,12707.6306373297,14199.2726911442,36074.99,0.0,1.0
btcusd,2018-01-15 00:00:00+00:00,13647.99,14365.81,13072.22,13508.2075756939,31368.64,13647.99,14365.81,13072.22,13508.2075756939,31368.64,0.0,1.0
btcusd,2018-01-16 00:00:00+00:00,13607.04,14394.36,10365.6710359823,13531.2983007441,71530.64,13607.04,14394.36,10365.6710359823,13531.2983007441,71530.64,0.0,1.0
btcusd,2018-01-17 00:00:00+00:00,11386.34,13607.04,9199.7827323881,11056.1359136033,63218.88,11386.34,13607.04,9199.7827323881,11056.1359136033,63218.88,0.0,1.0
btcusd,2018-01-18 00:00:00+00:00,11191.35,11895.36603182,9222.0,11091.4397556222,58515.19,11191.35,11895.36603182,9222.0,11091.4397556222,58515.19,0.0,1.0
btcusd,2018-01-19 00:00:00+00:00,11247.57,12146.0,10619.8488440275,10987.6253547428,34133.26,11247.57,12146.0,10619.8488440275,10987.6253547428,34133.26,0.0,1.0
btcusd,2018-01-20 00:00:00+00:00,11552.0,13214.6265186035,11025.18,11434.5798115063,25405.26,11552.0,13214.6265186035,11025.18,11434.5798115063,25405.26,0.0,1.0
btcusd,2018-01-21 00:00:00+00:00,12775.99,13052.12,10966.3254363144,12734.4692767597,23239.06,12775.99,13052.12,10966.3254363144,12734.4692767597,23239.06,0.0,1.0
btcusd,2018-01-22 00:00:00+00:00,11558.87,12791.88,9979.7683824909,11503.52874059,26341.44,11558.87,12791.88,9979.7683824909,11503.52874059,26341.44,0.0,1.0
btcusd,2018-01-23 00:00:00+00:00,10808.99,11910.78,9910.7573811534,10771.042369786,30756.73,10808.99,11910.78,9910.7573811534,10771.042369786,30756.73,0.0,1.0
btcusd,2018-01-24 00:00:00+00:00,10851.82,11521.2527562408,9927.54,10824.825191258,28665.18,10851.82,11521.2527562408,9927.54,10824.825191258,28665.18,0.0,1.0
btcusd,2018-01-25 00:00:00+00:00,11400.96,11700.8555048665,10488.13,11384.6395269445,21621.79,11400.96,11700.8555048665,10488.13,11384.6395269445,21621.79,0.0,1.0
